fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2018-02-25|USD|242300000|861800000|619500000|621100000|169200000|73100000|13500000|75300000||||28500000|863400000|26400000|35800000|600000|164300000|7500000||159600000|164800000|169200000|169800000|156800000|LW
2017-11-26|USD|208200000|823600000|615400000|616400000|139800000|68400000||70000000||||27400000|824600000|12100000|33900000|600000|118100000|41500000||83000000|76200000|139800000|140400000|76600000|LW
2017-08-27|USD|196300000|817100000|620800000|621200000|137600000|58700000||59600000||||25200000|817500000|20000000|29300000|500000|127500000|44100000||88300000|98600000|137600000|138100000|83400000|LW
2017-05-28|USD|197700000|830200000|632500000|632500000|122600000|69700000|10600000|88500000||-1100000||1100000|||27900000|500000|117100000|41200000||54700000|86000000|122600000|118700000|75900000|LW
2017-02-26|USD|204900000|768500000|561500000|561500000|145200000|61800000||62300000||-1100000||1100000||12700000|25800000|500000|128200000|44000000||87600000|87000000|145200000|129800000|84200000|LW
2016-11-27|USD|196500000|790700000|591800000|591800000|125500000|73400000||73400000||-6800000||6800000||6200000|25800000|26600000|121100000|33900000||91000000|75300000|127900000|152100000|87200000|LW
2016-08-28|USD|179700000|775400000|595700000|595700000|125000000|55600000||55600000||||1500000|||24700000|25500000|130600000|51000000|||78500000|125000000|154600000|79600000|LW
2016-05-29|USD|182400000|777000000|594600000|594600000|51900000|124900000|6700000|130500000||||1700000|||24000000|24400000|62900000|20300000||294600000|46500000|51900000|76400000|42600000|LW
2016-02-28|USD|181900000|728700000|546800000|546800000|127300000|54600000||54600000||||1500000|||23100000|23600000|160600000|53200000|||104800000|127300000|150900000|107400000|LW
2015-11-29|USD|161800000|740300000|578500000|578500000|109500000|52300000||52300000||||1500000|||23300000|24100000|112000000|38700000|||64700000|109500000|133600000|73300000|LW
2015-08-30|USD|141300000|747800000|606500000|606500000|95700000|56600000||56700000||||1400000||||23800000|94300000|32300000||||84700000|108500000|62000000|LW
