fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2021-03-31|USD|1027000000|1346000000|319000000|319000000|175000000|370000000|468000000|852000000||-12000000||12000000||-10000000|38000000|14000000|165000000|89000000|12000000|76000000|219000000|177000000|191000000|76000000|EA
2020-12-31|USD|1072000000|1673000000|601000000|601000000|251000000|365000000|451000000|821000000||-11000000||11000000||-6000000|37000000|5000000|245000000|34000000|11000000|211000000|219000000|256000000|261000000|211000000|EA
2020-09-30|USD|865000000|1151000000|286000000|286000000|149000000|289000000|421000000|716000000||-11000000||11000000||-10000000|32000000|6000000|139000000|-46000000|11000000|185000000|148000000|150000000|156000000|185000000|EA
2020-06-30|USD|1171000000|1459000000|288000000|288000000|471000000|257000000|438000000|700000000||-11000000||11000000||-3000000|31000000|5000000|468000000|103000000|11000000|365000000|363000000|479000000|484000000|365000000|EA
2020-03-31|USD|1118000000|1387000000|269000000|269000000|401000000|309000000|402000000|717000000||-12000000|13000000|12000000||13000000|31000000|6000000|414000000|-4000000|12000000|401000000|401000000|426000000|432000000|418000000|EA
2019-12-31|USD|1085000000|1593000000|508000000|508000000|361000000|328000000|389000000|724000000||-10000000|13000000|10000000||13000000|29000000|5000000|374000000|28000000|10000000|346000000|323000000|384000000|389000000|346000000|EA
2019-09-30|USD|943000000|1348000000|405000000|405000000|268000000|280000000|387000000|675000000||-11000000|16000000|11000000||16000000|30000000|6000000|284000000|-570000000|11000000|854000000|861000000|295000000|301000000|854000000|EA
2019-06-30|USD|1022000000|1209000000|187000000|187000000|415000000|220000000|381000000|607000000||-11000000|21000000|11000000||21000000|30000000|5000000|436000000|-985000000|11000000|1421000000|1434000000|447000000|452000000|1421000000|EA
2019-03-31|USD|962000000|1238000000|276000000|276000000|196000000|352000000|398000000|766000000||-78000000|-66000000|12000000||23000000|31000000|5000000|219000000|10000000|78000000|196000000|196000000|231000000|236000000|209000000|EA
2018-12-31|USD|876000000|1289000000|413000000|413000000|242000000|293000000|334000000|634000000||11000000|22000000|11000000||23000000|30000000|6000000|265000000|3000000|-11000000|262000000|264000000|276000000|282000000|262000000|EA
2018-09-30|USD|868000000|1286000000|418000000|418000000|258000000|263000000|339000000|610000000||11000000|22000000|11000000||18000000|30000000|6000000|276000000|21000000|-11000000|255000000|262000000|287000000|293000000|255000000|EA
2018-06-30|USD|922000000|1137000000|215000000|215000000|300000000|254000000|362000000|622000000||11000000|22000000|11000000||19000000|30000000|6000000|319000000|26000000|-11000000|293000000|371000000|330000000|336000000|293000000|EA
2018-03-31|USD|1349000000|1582000000|233000000|233000000|753000000|256000000|335000000|596000000||-76000000||76000000||1000000|31000000|5000000|754000000|147000000|76000000|753000000|575000000|830000000|835000000|607000000|EA
2017-12-31|USD|659000000|1160000000|501000000|501000000|-21000000|350000000|329000000|680000000||10000000||-10000000||5000000|30000000|1000000|-16000000|170000000|-10000000|-186000000|-208000000|-26000000|-25000000|-186000000|EA
2017-09-30|USD|570000000|959000000|389000000|389000000|-41000000|278000000|331000000|611000000||11000000||-11000000||3000000|30000000|2000000|-38000000|-16000000|-11000000|-22000000|-24000000|-49000000|-47000000|-22000000|EA
2017-06-30|USD|1295000000|1449000000|154000000|154000000|743000000|226000000|325000000|552000000||11000000||-11000000||6000000|29000000|1000000|749000000|105000000|-11000000|644000000|592000000|738000000|739000000|644000000|EA
2017-03-31|USD|1325000000|1527000000|202000000|202000000|717000000|272000000|335000000|608000000||-83000000||83000000|6000000|-1000000|29000000|1000000|716000000|150000000|83000000|717000000|548000000|799000000|800000000|566000000|EA
2016-12-31|USD|633000000|1149000000|516000000|516000000|-4000000|350000000|285000000|637000000||12000000||-12000000|0|-2000000|29000000|2000000|-6000000|-5000000|-12000000|-1000000|8000000|-18000000|-16000000|-1000000|EA
2016-09-30|USD|497000000|898000000|401000000|401000000|-49000000|254000000|291000000|546000000||11000000||-11000000||-3000000|28000000|1000000|-52000000|-14000000|-11000000|-38000000|-51000000|-63000000|-62000000|-38000000|EA
2016-06-30|USD|1092000000|1271000000|179000000|179000000|560000000|236000000|294000000|532000000||13000000||-13000000||-8000000|29000000|2000000|552000000|112000000|-13000000|440000000|459000000|539000000|541000000|440000000|EA
2016-03-31|USD|1082000000|1308000000|1261000000|226000000|536000000|263000000|282000000|546000000||-55000000|-8000000|47000000|-1000000|-10000000|28000000|1000000|526000000|-373000000|57000000|536000000|940000000|573000000|574000000|899000000|EA
2015-12-31|USD|524000000|1070000000|546000000|546000000|-31000000|287000000|266000000|555000000||7000000|2000000|-5000000|-2000000|1000000|31000000|2000000|-30000000|15000000|-5000000|-45000000|-58000000|-35000000|-33000000|-45000000|EA
2015-09-30|USD|406000000|815000000|409000000|409000000|-119000000|257000000|265000000|525000000||12000000|6000000|-6000000|-6000000|-9000000|30000000|3000000|-128000000|12000000|-6000000|-140000000|-170000000|-134000000|-131000000|-140000000|EA
2015-06-30|USD|1030000000|1203000000|173000000|173000000|512000000|221000000|296000000|518000000||8000000||-8000000|0|-3000000|30000000|1000000|509000000|67000000|-8000000|442000000|426000000|501000000|502000000|442000000|EA
2015-03-31|USD|951000000|1185000000|1281000000|234000000|400000000|264000000|285000000|551000000||-55000000||55000000|-3000000|-3000000|30000000|3000000|397000000|2000000|55000000|400000000|374000000|452000000|455000000|395000000|EA
2014-12-31|USD|725000000|1126000000|401000000|401000000|162000000|276000000|283000000|563000000||8000000||-8000000|0|-6000000|32000000|4000000|156000000|14000000|-8000000|142000000|112000000|148000000|152000000|142000000|EA
2014-09-30|USD|563000000|990000000|427000000|427000000|24000000|275000000|261000000|539000000||8000000||-8000000|0|-6000000|33000000|4000000|18000000|15000000|-8000000|3000000|-5000000|10000000|14000000|3000000|EA
2014-06-30|USD|847000000|1214000000|367000000|367000000|362000000|218000000|265000000|485000000||8000000||-8000000||-8000000|31000000|2000000|354000000|19000000|-8000000|335000000|359000000|346000000|348000000|335000000|EA
2014-03-31|USD|900000000|1123000000|1000000|223000000|344000000|260000000|289000000|556000000||-2000000|51000000|53000000||-7000000|31000000|-2000000|337000000|-30000000|7000000|344000000|352000000|390000000|388000000|367000000|EA
2013-12-31|USD|291000000|808000000|517000000|517000000|-292000000|305000000|275000000|583000000||-8000000|-16000000|-8000000||-6000000|33000000|5000000|-298000000|10000000|8000000|-308000000|-318000000|-306000000|-301000000|-308000000|EA
2013-09-30|USD|282000000|695000000|413000000|413000000|-252000000|293000000|283000000|534000000||-8000000|-16000000|-8000000||-8000000|32000000|5000000|-260000000|13000000|8000000|-273000000|-267000000|-268000000|-263000000|-273000000|EA
2013-06-30|USD|755000000|949000000|194000000|194000000|233000000|232000000|278000000|522000000||-7000000|-14000000|-7000000||-5000000|30000000|5000000|228000000|6000000|7000000|222000000|209000000|221000000|226000000|222000000|EA
2013-03-31|USD|900000000|1209000000|31000000|309000000|309000000|318000000|263000000|591000000||-14000000|-6000000|8000000||-4000000|31000000|4000000|330000000|7000000|8000000|309000000|273000000|338000000|342000000|323000000|EA
2012-12-31|USD|493000000|922000000|429000000|429000000|-39000000|282000000|286000000|532000000||-7000000||7000000||-8000000|30000000|7000000|-33000000|12000000|7000000|-45000000|-75000000|-26000000|-19000000|-45000000|EA
2012-09-30|USD|266000000|711000000|445000000|445000000|-364000000|311000000|314000000|630000000||-6000000||7000000||-4000000|29000000|8000000|-368000000|13000000|6000000|-381000000|-347000000|-361000000|-353000000|-381000000|EA
2012-06-30|USD|750000000|955000000|205000000|205000000|215000000|231000000|290000000|535000000||-6000000||7000000||-5000000|28000000|8000000|210000000|9000000|6000000|201000000|143000000|217000000|225000000|201000000|EA
2012-03-31|USD|994000000|1368000000|1000000|374000000|365000000|337000000|284000000|629000000||-1000000||7000000||-4000000|28000000|7000000|361000000|-39000000|10000000|365000000|383000000|368000000|375000000|400000000|EA
2011-12-31|USD|509000000|1061000000|552000000|552000000|-183000000|367000000|325000000|692000000||-5000000||7000000||-10000000|23000000|11000000|-193000000|12000000|5000000|-205000000|-273000000|-186000000|-175000000|-205000000|EA
2011-09-30|USD|283000000|715000000|432000000|432000000|-374000000|310000000|318000000|657000000||-5000000||5000000||-6000000|26000000|13000000|-380000000|-40000000|5000000|-340000000|-322000000|-374000000|-362000000|-340000000|EA
2011-06-30|USD|759000000|999000000|240000000|240000000|227000000|214000000|285000000|532000000||||||3000000|25000000|13000000|230000000|9000000||221000000|242000000|227000000|240000000|221000000|EA
2011-03-31|USD|762000000|1090000000|610000000|328000000|145000000|269000000|328000000|617000000||||||4000000|25000000|13000000|149000000|-2000000||145000000|215000000|145000000|158000000|151000000|EA
2010-12-31|USD|467000000|1053000000|928000000|586000000|-303000000|328000000|273000000|770000000||||||0|26000000|14000000|-303000000|19000000||-322000000|-311000000|-303000000|-289000000|-322000000|EA
2010-09-30|USD|268000000|631000000|634000000|363000000|-252000000|250000000|277000000|520000000||||||6000000|25000000|15000000|-218000000|-17000000||-201000000|-170000000|-252000000|-237000000|-201000000|EA
2010-06-30|USD|593000000|815000000|222000000|222000000|98000000|201000000|275000000|495000000||||||0|28000000|15000000|93000000|-3000000||96000000|-19000000|98000000|113000000|96000000|EA
2010-03-31|USD|681000000|979000000|20000000|298000000|83000000|250000000|311000000|598000000||||2000000||-2000000|30000000|15000000|80000000|50000000||83000000|20000000|83000000|98000000|30000000|EA
2009-12-31|USD|589000000|1243000000|1060000000|654000000|-107000000|292000000|290000000|696000000||||2000000||-2000000|30000000|14000000|-110000000|-28000000||-82000000|-141000000|-107000000|-93000000|-82000000|EA
2009-09-30|USD|195000000|788000000|889000000|593000000|-417000000|278000000|316000000|612000000||||||7000000|30000000|12000000|-418000000|-27000000||-391000000|-408000000|-417000000|-405000000|-391000000|EA
2009-06-30|USD|323000000|644000000|577000000|321000000|-245000000|230000000|312000000|568000000||||||3000000|32000000|12000000|-258000000|-24000000||-234000000|-109000000|-245000000|-233000000|-234000000|EA
2009-03-31|USD|511000000|860000000|349000000|349000000|-62000000|190000000|332000000|573000000||||||-2000000||46000000|-59000000|-17000000||||-62000000|412000000|-42000000|EA
2008-12-31|USD|729000000|1654000000|925000000|925000000|-304000000|332000000|299000000|1033000000||||||14000000||48000000|-317000000|324000000||||-304000000|131000000|-641000000|EA
2008-09-30|USD|337000000|894000000|557000000|557000000|-364000000|289000000|372000000|701000000||||||7000000||54000000|-391000000|-81000000||||-364000000|-324000000|-310000000|EA
2008-06-30|USD|508000000|804000000|296000000|296000000|-97000000|212000000|356000000|605000000||||||15000000||50000000|-88000000|7000000||||-97000000|-25000000|-95000000|EA
