fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2020-07-31|USD|872000000|1285000000|983000000|431000000|136000000|490000000|233000000|736000000|3000000|-18000000|3000000|18000000|1303000000|-17000000||49000000|104000000|27000000|18000000|77000000|80000000|122000000|171000000|77000000|NTAP
2020-04-24|USD|941000000|1387000000|10000000|460000000|277000000|452000000|212000000|664000000|7000000|-14000000|7000000|14000000|1401000000|-20000000||47000000|250000000|54000000|14000000|-20000000|193000000|264000000|311000000|196000000|NTAP
2020-01-24|USD|941000000|1390000000|933000000|463000000|268000000|462000000|211000000|673000000|10000000|-14000000|10000000|14000000|1404000000|12000000||47000000|276000000|-1000000|14000000|277000000|274000000|290000000|337000000|277000000|NTAP
2019-10-25|USD|925000000|1359000000|915000000|446000000|296000000|458000000|209000000|629000000|12000000|-12000000|12000000|12000000|1371000000|3000000||50000000|299000000|56000000|12000000|243000000|246000000|311000000|361000000|243000000|NTAP
2019-07-26|USD|816000000|1221000000|966000000|420000000|104000000|476000000|215000000|712000000|19000000|-15000000|19000000|15000000|1236000000|11000000||49000000|119000000|16000000|15000000|103000000|107000000|134000000|183000000|103000000|NTAP
2019-04-26|USD|1026000000|1578000000|1138000000|566000000|370000000|508000000|205000000|656000000|20000000|-14000000|20000000|14000000|1592000000|8000000||48000000|384000000|-12000000|14000000|396000000|421000000|398000000|446000000|396000000|NTAP
2019-01-25|USD|982000000|1547000000|1062000000|581000000|311000000|468000000|203000000|671000000|22000000|-16000000||16000000|1563000000|2000000||51000000|319000000|70000000|16000000|249000000|256000000|335000000|386000000|249000000|NTAP
2018-10-26|USD|974000000|1503000000|1032000000|543000000|286000000|477000000|211000000|688000000|21000000|-14000000||14000000|1517000000|0||49000000|293000000|52000000|14000000|241000000|236000000|307000000|356000000|241000000|NTAP
2018-07-27|USD|963000000|1460000000|1061000000|511000000|254000000|482000000|208000000|709000000|25000000|-14000000||14000000|1474000000|7000000||49000000|272000000|-11000000|14000000|283000000|283000000|286000000|335000000|283000000|NTAP
2018-04-27|USD|1029000000|1648000000|619000000|615000000|312000000|532000000|203000000|717000000|24000000|-15000000||15000000|-4199000000|7000000||48000000|328000000|38000000|15000000|271000000|262000000|343000000|391000000|290000000|NTAP
2018-01-26|USD|956000000|1538000000|582000000|583000000|490000000|495000000|193000000|466000000|20000000|-17000000||17000000|1539000000|11000000||48000000|504000000|983000000|17000000|-506000000|-502000000|521000000|569000000|-479000000|NTAP
2017-10-27|USD|900000000|1420000000|520000000|515000000|216000000|489000000|194000000|684000000|19000000|-17000000||17000000|1415000000|4000000||51000000|222000000|48000000|17000000|175000000|168000000|239000000|290000000|174000000|NTAP
2017-07-28|USD|824000000|1315000000|491000000|497000000|140000000|493000000|193000000|684000000|16000000|-13000000||13000000|1321000000|2000000||51000000|145000000|14000000|13000000|136000000|147000000|158000000|209000000|131000000|NTAP
2017-04-28|USD|887000000|1455000000|568000000|957000000|203000000|475000000|191000000|684000000|13000000|-13000000||13000000|0|1000000||53000000|204000000|42000000|13000000|190000000|170000000|217000000|270000000|162000000|NTAP
2017-01-27|USD|851000000|1404000000|553000000|435000000|183000000|445000000|181000000|668000000|10000000|-12000000||12000000|10000000|2000000||56000000|183000000|37000000|12000000|146000000|150000000|195000000|251000000|146000000|NTAP
2016-10-28|USD|829000000|1340000000|511000000|376000000|142000000|487000000|200000000|687000000|10000000|-12000000||12000000||2000000||57000000|142000000|33000000|12000000|109000000|99000000|154000000|211000000|109000000|NTAP
2016-07-29|USD|797000000|1294000000|497000000|359000000|93000000|497000000|207000000|704000000|11000000|-15000000||15000000|4000000|3000000||60000000|92000000|28000000|15000000|64000000|64000000|107000000|167000000|64000000|NTAP
2016-04-29|USD|818000000|1380000000|562000000|424000000|64000000|518000000|201000000|754000000|11000000|-15000000||15000000|53000000|0||77000000|60000000|68000000|15000000|-8000000|2000000|75000000|152000000|-8000000|NTAP
2016-01-29|USD|855000000|1386000000|531000000|381000000|165000000|488000000|200000000|690000000|11000000|-11000000||11000000|1000000|-2000000||66000000|163000000|10000000|11000000|153000000|147000000|174000000|240000000|153000000|NTAP
2015-10-30|USD|884000000|1445000000|561000000|408000000|145000000|522000000|216000000|739000000|11000000|-12000000||12000000|0|0||67000000|144000000|30000000|12000000|114000000|113000000|156000000|223000000|114000000|NTAP
2015-07-31|USD|816000000|1335000000|519000000|345000000|-26000000|571000000|244000000|842000000|13000000|-11000000||11000000|-7000000|2000000||69000000|-22000000|8000000|11000000|-30000000|-40000000|-11000000|58000000|-30000000|NTAP
2015-04-24|USD|935000000|1540000000|605000000|-1900000|161000000|541200000|233000000|3117000000|11600000|-11000000||11000000|4700000|2000000||72000000|164000000|29000000|11000000|134900000|125000000|175000000|247000000|135000000|NTAP
2015-01-23|USD|977000000|1551000000|574000000|564500000|202000000|545000000|230000000|0|8600000|-11100000|-100000|11000000|11000000|0||80000000|200000000|23000000|11100000|176800000|162000000|211000000|291000000|177000000|NTAP
2014-10-24|USD|983000000|1543000000|560000000|551400000|193000000|561000000|229000000|790000000|8100000|-10900000|100000|11000000|-1000000|-1000000||77000000|189000000|29000000|10900000|159800000|152000000|200000000|277000000|160000000|NTAP
2014-07-25|USD|938000000|1489000000|551000000|542900000|160000000|550200000|228000000|0|8300000|-9000000||9000000|-1000000|1000000||78000000|160000000|72000000|9000000|88400000|88000000|169000000|247000000|88000000|NTAP
2014-04-25|USD|1042000000|1649000000|607000000|599000000|223500000|548700000|231400000|3185000000|8500000|-6400000|-100000|6300000|-1000000|9100000||82000000|226600000|29600000|6400000|197000000|199500000|232900000|314900000|197000000|NTAP
2014-01-24|USD|1002300000|1610000000|607700000|600000000|226700000|545300000|230300000|0|7900000|-6700000||6700000|1000000|0||83600000|229600000|37500000|6700000|192100000|192500000|236300000|319900000|192100000|NTAP
2013-10-25|USD|965200000|1549900000|584700000|577200000|186900000|549000000|228200000|778300000|8500000|-6500000||6500000||3300000||82500000|192200000|25400000|6500000|166800000|174400000|198700000|281200000|166800000|NTAP
2013-07-26|USD|909600000|1516200000|606600000|599100000|96900000|536200000|228100000|812700000|10000000|-16500000||16500000||1900000||85900000|92300000|10700000|16500000|81600000|71600000|108800000|194700000|81600000|NTAP
2013-04-26|USD|1032200000|1716500000|684300000|676900000|204400000|584400000|243400000|-2325500000|10100000|-28000000||28000000||2400000||89100000|188900000|15100000|28000000|173800000|173900000|216900000|306000000|173800000|NTAP
2013-01-25|USD|964900000|1630100000|665200000|657900000|187900000|559700000|215600000|777000000|10300000|-24000000||24000000||1600000||86400000|175800000|17700000|24000000|158100000|158500000|199800000|286200000|158100000|NTAP
2012-10-26|USD|913900000|1541200000|627300000|620300000|135300000|554800000|223800000|778600000|11000000|-19800000||19800000||1200000||86700000|127700000|18100000|19800000|109600000|112600000|147500000|234200000|109600000|NTAP
2012-07-27|USD|850100000|1444600000|594500000|587900000|80200000|548500000|221400000|769900000|10800000|-19900000||19900000||3100000||82400000|74200000|10400000|19900000|63800000|64100000|94100000|176500000|63800000|NTAP
2012-04-27|USD|995000000|1702500000|707500000|700700000|221400000|549600000|221600000|773600000|10600000|-20000000||20000000||2500000||82600000|214500000|33800000|20000000|214500000|181000000|234500000|317100000|180700000|NTAP
2012-01-27|USD|908500000|1565500000|657000000|650800000|156500000|540200000|208300000|752000000|8700000|-18900000||18900000||600000||73600000|146900000|27300000|18900000|119600000|117200000|165800000|239400000|119600000|NTAP
2011-10-28|USD|913000000|1507000000|594000000|588400000|192400000|519200000|199700000|720600000|8300000|-16400000||16400000||-400000||68400000|183900000|18300000|16400000|165600000|157400000|200300000|268700000|165600000|NTAP
2011-07-29|USD|896900000|1458200000|561300000|556000000|176200000|519900000|198600000|720700000|10600000|-19400000||19400000||-300000||68500000|167100000|27600000|19400000|139500000|141900000|186500000|255000000|139500000|NTAP
2011-04-29|USD|928200000|1428300000|500100000|525100000|212900000|531600000|176500000|715300000|10300000|-19700000||19700000||4600000||42300000|208100000|47500000|19700000|208100000|166200000|227800000|270100000|160600000|NTAP
2011-01-28|USD|846200000|1289600000|443400000|440300000|221000000|459300000|166000000|625200000|10300000|-19000000||19000000||400000||41000000|212700000|26300000|19000000|172500000|182600000|231700000|272700000|186400000|NTAP
2010-10-29|USD|816500000|1251000000|434500000|402800000|212800000|447000000|156600000|603700000|9500000|-18600000||18600000||-1400000||41600000|202300000|26900000|18600000|164600000|181500000|220900000|262500000|175400000|NTAP
2010-07-30|USD|737800000|1153700000|415900000|413400000|177600000|56200000|149500000|560200000|9800000||9800000|18600000||2200000||40700000|171000000|20300000||141800000|152700000|189600000|230300000|150700000|NTAP
2010-04-30|USD|748500000|1171700000|423300000|423276000|172900000|64231000|143700000|575600000|8200000|||18800000||1700000||40000000|163900000|18800000||||182700000|222700000|145100000|NTAP
2010-01-29|USD|641500000|1011700000|370200000|370110000|129300000|58079000|129300000|512200000|7500000|||18200000||-700000||40800000|117900000|10000000||||136100000|176900000|107900000|NTAP
2009-10-30|USD|606700000|910000000|303300000|303346000|115400000|56939000|132400000|491300000|7000000|||17900000||1500000||42200000|106000000|10300000||||123900000|166100000|95700000|NTAP
2009-07-31|USD|522500000|838000000|315400000|315468000|70800000|59551000|130300000|451700000|||8600000|19200000||-1000000||43000000|59200000|7500000||||78400000|121400000|51700000|NTAP
