fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2022-06-30|USD|666700000|1102400000|435700000|435700000|-37400000|509200000|172600000|704100000||-8600000||8600000|1104000000|-29300000|17500000|117600000|-106300000|-2300000|8600000|-104000000|-167200000|-37400000|19900000|-104000000|TTWO
2022-03-31|USD|531400000|919196000|1491551000|398624000|128900000|289641000|96108000|402500000||6222000||305000|925721000|-7000000|16500000|15217000|121800000|10900000||110972000|88210000|128900000|144117000|110900000|TTWO
2021-12-31|USD|552900000|903300000|350400000|350379000|154100000|265992000|116656000|398800000||-5629000|||907359000|-5600000|16300000|15900000|152200000|7600000||144497000|129661000|154100000|170000000|144600000|TTWO
2021-09-30|USD|401500000|858200000|456700000|456682000|20100000|263350000|101508000|381400000||-572000|||858800000|-600000|15900000|18400000|19900000|9700000||10297000|-6680000|20100000|38500000|10200000|TTWO
2021-06-30|USD|483600000|813300000|329700000|329715000|170500000|208301000|92294000|313100000||-1027000||1027000|811518000|-1000000|12500000|15200000|171500000|19200000||152256000|158150000|170500000|185700000|152300000|TTWO
2021-03-31|USD|559797000|846092000|491589000|279662000|255833000|205062000|83559000|303964000||472000|||846092000|-3222000|15510000|71391|253575000|34749000||218812000|215732000|255833000|310216000|218826000|TTWO
2020-12-31|USD|514645000|855057000|589929000|346244000|176057000|238530000|86428000|338588000||1098000|||855057000|1098000|14964000|54000|216446000|34198000||182248000|211488000|176057000|181909000|182248000|TTWO
2020-09-30|USD|408637000|840113000|637868000|432505000|115367000|205124000|74216000|293270000||2706000|2706000||840113000|2706000|13528000|55806|117418000|18097000||99321000|116628000|115367000|172984000|99321000|TTWO
2020-06-30|USD|354621000|828653000|663641000|476689000|82143000|186952000|73108000|272478000||8218000|8218000|8218000|828653000|8218000|12298000|55213|90361000|1856000||88505000|94750000|82143000|156868000|88505000|TTWO
2020-03-31|USD|364901000|760541000|578427000|395640000|121884000|162181000|68718000|243017000||14282000|2750000|8083000|760541000|8083000|12382000|55131|124634000|1912000||121884000|102833000|121884000|186044000|122722000|TTWO
