fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2021-10-31|USD|4631000000|7103000000|2472000000|2472000000|2671000000|557000000|1403000000|1960000000|7000000|-62000000|7000000|62000000||22000000||143000000|2638000000|174000000|62000000|2464000000|2465000000|2700000000|2843000000|2464000000|NVDA
2021-08-01|USD|4215000000|6507000000|2292000000|2292000000|2444000000|526000000|1245000000|1771000000|6000000|-60000000|6000000|60000000||4000000||286000000|2394000000|20000000|60000000|252000000|2368000000|2454000000|2740000000|2374000000|NVDA
2021-05-02|USD|3629000000|5661000000|2032000000|2032000000|1956000000|520000000|1153000000|1673000000|6000000|-53000000|6000000|53000000||135000000||281000000|2044000000|132000000|53000000|1912000000|1907000000|2097000000|2378000000|1912000000|NVDA
2021-01-31|USD|3156000000|5003000000|1847000000|1846000000|1507000000|503000000|1146000000|1649000000|7000000|-53000000|6000000|53000000||9000000||288000000|1470000000|13000000|53000000|1457000000|1464000000|1523000000|1811000000|1457000000|NVDA
2020-10-25|USD|2960000000|4726000000|1766000000|1766000000|1398000000|515000000|1047000000|1562000000|7000000|-53000000|7000000|53000000||-4000000||299000000|1348000000|12000000|53000000|1336000000|1344000000|1401000000|1700000000|1336000000|NVDA
2020-07-26|USD|2275000000|3866000000|1591000000|1591000000|651000000|627000000|997000000|1624000000|13000000|-54000000|13000000|54000000||-1000000||404000000|609000000|-13000000|54000000|622000000|636000000|663000000|1067000000|622000000|NVDA
2020-04-26|USD|2004000000|3080000000|1076000000|1076000000|976000000|293000000|735000000|1028000000|31000000|-25000000|31000000|25000000||-1000000||107000000|981000000|64000000|25000000|917000000|906000000|1006000000|1113000000|917000000|NVDA
2020-01-26|USD|2015000000|3105000000|1090000000|1090000000|990000000|287000000|738000000|1025000000|41000000|-13000000|41000000|13000000|3105000000|-2000000||106000000|1015000000|65000000|13000000|2015000000|955000000|1028000000|1134000000|950000000|NVDA
2019-10-27|USD|1916000000|3014000000|1098000000|1098000000|927000000|277000000|712000000|989000000|45000000|-13000000|45000000|13000000|3014000000|0||92000000|959000000|60000000|13000000|899000000|897000000|972000000|1064000000|899000000|NVDA
2019-07-28|USD|1541000000|2579000000|1038000000|1038000000|571000000|266000000|704000000|970000000|47000000|-13000000|47000000|13000000|2579000000|1000000||92000000|606000000|54000000|13000000|552000000|553000000|619000000|711000000|552000000|NVDA
2019-04-28|USD|1296000000|2220000000|924000000|924000000|358000000|264000000|674000000|938000000|44000000|-13000000|44000000|13000000|2220000000|0||91000000|389000000|-5000000|13000000|394000000|404000000|402000000|493000000|394000000|NVDA
2019-01-27|USD|1207000000|2205000000|998000000|998000000|294000000|266000000|647000000|913000000|42000000|-14000000||14000000|2205000000|2000000||78000000|325000000|-242000000|14000000|1207000000|578000000|339000000|417000000|567000000|NVDA
2018-10-28|USD|1921000000|3181000000|1260000000|1260000000|1058000000|258000000|605000000|863000000|37000000|-15000000||15000000|3181000000|1000000||68000000|1081000000|-149000000|15000000|1230000000|1229000000|1096000000|1164000000|1230000000|NVDA
2018-07-29|USD|1975000000|3123000000|1148000000|1148000000|1157000000|237000000|581000000|818000000|32000000|-14000000||14000000|3123000000|5000000||58000000|1180000000|79000000|14000000|1101000000|1101000000|1194000000|1252000000|1101000000|NVDA
2018-04-29|USD|2068000000|3207000000|1139000000|1139000000|1295000000|231000000|542000000|773000000|25000000|-15000000||15000000|0|6000000||57000000|1311000000|67000000|15000000|1244000000|1239000000|1326000000|1383000000|1244000000|NVDA
2018-01-28|USD|1801000000|2911000000|1110000000|1110000000|1073000000|221000000|507000000|728000000|21000000|-15000000||15000000|2911000000|0||54000000|1078000000|-40000000|15000000|1801000000|1114000000|1093000000|1147000000|1118000000|NVDA
2017-10-29|USD|1569000000|2636000000|1067000000|1067000000|895000000|212000000|462000000|674000000|17000000|-15000000||15000000|-1000000|-1000000||50000000|896000000|58000000|16000000|838000000|836000000|911000000|961000000|838000000|NVDA
2017-07-30|USD|1302000000|2230000000|928000000|928000000|688000000|198000000|416000000|614000000|15000000|-15000000||15000000|-3000000|-4000000||49000000|684000000|101000000|18000000|583000000|586000000|699000000|748000000|583000000|NVDA
2017-04-30|USD|1150000000|1937000000|787000000|787000000|554000000|185000000|411000000|596000000|16000000|-16000000||16000000|-14000000|-18000000||47000000|536000000|29000000|30000000|507000000|510000000|552000000|599000000|507000000|NVDA
2017-01-29|USD|1303000000|2173000000|870000000|870000000|733000000|176000000|394000000|570000000|17000000|-19000000||19000000|-1000000|-6000000||47000000|726000000|71000000|25000000|1303000000|643000000|745000000|792000000|655000000|NVDA
2016-10-30|USD|1183000000|2004000000|821000000|821000000|639000000|171000000|373000000|544000000|14000000|-16000000||16000000|-15000000|-16000000||48000000|621000000|79000000|31000000|542000000|534000000|637000000|685000000|542000000|NVDA
2016-07-31|USD|826000000|1428000000|602000000|602000000|317000000|157000000|350000000|509000000|12000000|-12000000||12000000|0|0||47000000|317000000|56000000|12000000|253000000|263000000|329000000|376000000|261000000|NVDA
2016-05-01|USD|751000000|1305000000|554000000|554000000|245000000|159000000|346000000|506000000|12000000|-12000000||12000000|0|-4000000||45000000|241000000|33000000|12000000|-33000000|213000000|253000000|298000000|208000000|NVDA
2016-01-31|USD|791000000|1401000000|610000000|610000000|252000000|161000000|344000000|539000000|11000000|-12000000||12000000||3000000||46000000|253000000|46000000|12000000|791000000|202000000|265000000|311000000|207000000|NVDA
2015-10-25|USD|733000000|1305000000|572000000|571000000|245000000|152000000|329000000|489000000|9000000|-12000000||12000000||3000000||48000000|246000000|-1000000|12000000|246000000|246000000|258000000|306000000|247000000|NVDA
2015-07-26|USD|634000000|1153000000|519000000|519000000|76000000|149000000|320000000|558000000|9000000|-12000000||12000000||-1000000||49000000|72000000|46000000|12000000|26000000|19000000|84000000|133000000|26000000|NVDA
2015-04-26|USD|653000000|1151000000|498000000|498000000|176000000|138000000|339000000|477000000|9000000|-12000000||12000000||-1000000||54000000|172000000|38000000|12000000|134000000|135000000|184000000|238000000|134000000|NVDA
