fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2020-06-14|USD|357091000|920023000|562932000|562932000|163583000|193508000||208503000|640000|-39727000||39727000|-238000|||14757000|124496000|5828000|39727000|118668000|120201000|164223000|178980000|118668000|DPZ
2020-03-22|USD|340157000|873102000|532945000|532945000|155834000|184323000||200250000|932000|-39470000|640000|39470000|-306000|932000||14032000|117296000|-4306000|39470000|121602000|119276000|156766000|170798000|121602000|DPZ
2019-12-31|USD|447288000|1150352000|703064000|703064000|203951000|243337000||259865000|1465000|-48146000|46681000|48146000|1118000|1465000||18948000|157270000|27943000|48146000|157270000|129523000|205416000|224364000|129327000|DPZ
2019-09-08|USD|316251000|820812000|504561000|504561000|143029000|173222000||186666000|968000|-33752000||33752000|-312000|||13132000|110245000|23872000|33752000|110245000|86643000|143997000|157129000|86373000|DPZ
2019-06-16|USD|316671000|811647000|494976000|494976000|138923000|177748000||194488000|922000|-33866000||33866000|-2680000|||14060000|105979000|13620000|33866000|92359000|92343000|139845000|153905000|92359000|DPZ
2019-03-31|USD|322289000|835963000|513674000|513674000|143504000|178785000||192724000|693000|-35054000|693000|35054000|-149000|693000||13790000|109143000|16493000|35054000|92650000|92887000|144197000|157987000|92650000|DPZ
2018-12-31|USD|413955000|1082135000|668180000|668180000|179636000|234319000||251501000|883000|-45956000||45956000|-3850000|883000||17895000|134563000|22921000|49356000|134563000|110736000|180519000|198414000|111642000|DPZ
2018-09-09|USD|295279000|785965000|490686000|490686000|132432000|162847000||169601000|792000|-33976000||33976000|5706000|||12460000|99248000|15153000|33976000|99248000|84011000|133224000|145684000|84095000|DPZ
2018-06-17|USD|293580000|779396000|485816000|485816000|126145000|86506000||98900000|1179000|-36127000||36127000|-154000|||12240000|91197000|13789000|36127000|77408000|76805000|127324000|139564000|77408000|DPZ
2018-03-31|USD|299865000|785371000|485506000|485506000|133476000|84178000||95612000|480000|-30286000||30286000|-365000|480000||11069000|103670000|14843000|30286000|88827000|88372000|133956000|145025000|88827000|DPZ
2017-12-31|USD|280852000|891509000|610657000|610657000|175251000|145401000||155068000|463000|-39158000||39158000|3796000|463000||14315000|136556000|43229000|39158000|136556000|92719000|175714000|190029000|93327000|DPZ
2017-09-10|USD|198478000|643642000|445164000|445164000|117080000|81398000||91982000|612000|-33141000||33141000|-303000|||10281000|84551000|28183000|33141000|84551000|57774000|117692000|127973000|56368000|DPZ
2017-06-18|USD|192845000|628611000|435766000|435766000|112867000|79978000||90416000|276000|-24611000||24611000|-163000|||10275000|88532000|22791000|24611000|65741000|65956000|113143000|123418000|65741000|DPZ
2017-03-31|USD|193816000|624217000|430401000|430401000|116034000|77782000||87462000|111000|-25631000||25631000|-182000|111000||9498000|90514000|28045000|25631000|62469000|62536000|116145000|125643000|62469000|DPZ
2016-12-31|USD|254734000|819435000|564701000|564701000|150717000|138517000||151587000|129000|-33536000||33536000|-390000|129000||12680000|117311000|44577000|33536000|117310000|72211000|150847000|163527000|72734000|DPZ
2016-09-11|USD|173903000|566677000|392774000|392774000|100911000|72992000||81922000|83000|-25180000||25180000|-226000|||8704000|75814000|28582000|25180000|75814000|47219000|100994000|109698000|47232000|DPZ
2016-06-19|USD|171838000|547341000|375503000|375503000|103701000|68137000||76833000|197000|-25206000||25206000|-161000|||8535000|78692000|29431000|25206000|49261000|49649000|103898000|112433000|49261000|DPZ
2016-03-31|USD|167216000|539175000|371959000|371959000|98712000|68504000||76811000|276000|-26146000||26146000|-86000|276000||8221000|72842000|27391000|26146000|45451000|46036000|98988000|107209000|45451000|DPZ
2015-12-31|USD|231439000|741183000|509744000|509744000|138412000|125027000||134139000|110000|-40395000||40395000|-389000|110000||9739000|98127000|35368000|40395000|98127000|62692000|138522000|148261000|62759000|DPZ
2015-09-06|USD|141954000|484696000|342742000|342742000|80543000|61411000||69277000|64000|-19979000||19979000|-199000|||7667000|60628000|22796000|19979000|60628000|37280000|80607000|88274000|37832000|DPZ
2015-06-14|USD|152672000|488622000|335950000|335950000|92231000|60441000||67700000|57000|-19010000||19010000|422000|||7681000|73278000|27369000|19010000|73278000|46070000|92288000|99969000|45909000|DPZ
2015-03-22|USD|157066000|502027000|344961000|344961000|94253000|62813000||70310000|82000|-20153000||20153000|-150000|82000||7347000|74182000|27893000|20153000|46289000|45860000|94335000|101682000|46289000|DPZ
2014-12-31|USD|189565000|642950000|453385000|453385000|102882000|115683000||135251000|63000|-26730000||26730000|1426000|63000||15764000|76215000|28182000|26730000|76215000|47706000|102945000|118709000|48033000|DPZ
2014-09-07|USD|133514000|446568000|313054000|313054000|76941000|56573000||63826000|22000|-19974000||19974000|-306000|||6947000|56989000|21371000|19974000|56989000|35642000|76963000|83910000|35618000|DPZ
2014-06-15|USD|134645000|450463000|315818000|255101000|81363000|53282000||59807000|27000|-19851000||19851000|131000|||6656000|61539000|23077000|19851000|61539000|38672000|81390000|88046000|38462000|DPZ
2014-03-23|USD|137042000|453852000|316810000|316810000|84175000|52867000||76358000|31000|-20326000||20326000|3256000|31000||6421000|63880000|23406000|20326000|40474000|39890000|84206000|90627000|40474000|DPZ
2013-12-31|USD|172547000|566547000|394000000|394000000|97670000|104477000||200833000|63000|-27154000||27154000|-438000|64000||8303000|70579000|25916000|27154000|70579000|44946000|97733000|106036000|44663000|DPZ
2013-09-08|USD|120634000|404050000|283416000|283416000|66776000|53858000||60144000|24000|-20347000||20347000|-214000|||6072000|46453000|15821000|20347000|46453000|30758000|66800000|72872000|30632000|DPZ
2013-06-16|USD|125987000|414009000|288022000|288022000|73841000|52146000||72572000|30000|-20426000||20426000|197000|||5776000|53445000|20175000|20426000|33270000|33314000|73871000|79647000|33270000|DPZ
2013-03-31|USD|129806000|417617000|287811000|287811000|75525000|54281000||80769000|42000|-20945000||20945000|88000|42000||5631000|54622000|20202000|20945000|34420000|34369000|75567000|81198000|34420000|DPZ
2012-12-31|USD|160675000|539651000|378976000|378975000|88039000|100236000||136441000|64000|-27797000||27797000|-627000|64000||7319000|60307000|22728000|27797000|60306000|37617000|88104000|95423000|37579000|DPZ
2012-09-09|USD|111407000|378077000|266670000|266670000|61618000|49789000||70472000|34000|-20683000||20683000|-61000|||5412000|40969000|14993000|20683000|40969000|25954000|61652000|67064000|25976000|DPZ
2012-06-17|USD|114607000|376124000|261517000|261517000|65778000|48829000||74660000|52000|-20717000||20717000|111000|||5225000|45113000|17018000|20717000|28095000|28006000|65830000|71055000|28095000|DPZ
2012-03-31|USD|114649000|384587000|269938000|269938000|66895000|47754000||85435000|154000|-32250000||32250000|37000|154000||5216000|34799000|14057000|32250000|20742000|20830000|67049000|72265000|20742000|DPZ
2011-12-31|USD|144857000|501748000|356891000|356890000|76133000|97225000||133486000|83000|-28150000||28150000|281000|82000||6964000|48066000|17155000|28150000|48065000|31033000|76216000|83180000|30911000|DPZ
2011-09-11|USD|103359000|376326000|272967000|272967000|55854000|47505000||73195000|60000|-20984000||20984000|1619000|||6010000|34930000|12839000|20984000|34930000|22191000|55914000|61924000|22091000|DPZ
2011-06-19|USD|110694000|384933000|274239000|274239000|62046000|48648000||69679000|74000|-20970000|74000|21044000|13000|||5462000|41076000|15828000|21044000|25248000|25280000|62120000|67582000|25248000|DPZ
2011-03-31|USD|111606000|389186000|277580000|277580000|65112000|46494000||277580000||||21457000||80000||5606000|43735000|16624000||27111000|27197000|65192000|70798000|27111000|DPZ
2010-12-31|USD|136106000|479970000|343864000|343863000|67388000|91547800||68720000||||28865000||-765000||7627000|37856000|13683000|||24510000|66721000|74348000|24173000|DPZ
2010-09-12|USD|94153000|347388000|253235000|253235000|48224000|||||||22021000||938000||5431000|27208000|10608000|||16759000|49229000|54660000|16600000|DPZ
2010-06-20|USD|100336000|362405000|262069000|262069000|54549000|45787000||45787000||||21770000||1493000||5491000|34320000|11695000|||22886000|56090000|61581000|22625000|DPZ
2010-03-31|USD|107994000|381131000|273137000|273137000|57541000|50453000||50453000||||24153000||6144000||5503000|39562000|15043000||||63715000|63044000|24519000|DPZ
