fiscalDateEnding|reportedCurrency|grossProfit|totalRevenue|costOfRevenue|costofGoodsAndServicesSold|operatingIncome|sellingGeneralAndAdministrative|researchAndDevelopment|operatingExpenses|investmentIncomeNet|netInterestIncome|interestIncome|interestExpense|nonInterestIncome|otherNonOperatingIncome|depreciation|depreciationAndAmortization|incomeBeforeTax|incomeTaxExpense|interestAndDebtExpense|netIncomeFromContinuingOperations|comprehensiveIncomeNetOfTax|ebit|ebitda|netIncome|ticker
2021-12-31|USD|1895000000|2314000000|419000000|49000000|336000000|134000000||371000000||-167000000|289000000|167000000|3052000000|4000000||212000000|701000000|47000000|128000000|38000000|575000000|336000000|548000000|654000000|CNP
2021-09-30|USD|1563000000|1749000000|186000000|61000000|278000000|125000000||125000000||-12000000|120000000|12000000|1740000000|17000000||54000|251000000|33000000|114000000|150000000|223000000|278000000|649000000|218000000|CNP
2021-06-30|USD|1558000000|1742000000|184000000|58000000|296000000|126000000||126000000||-8000000|59000000|8000000|1638000000|18000000||55806|232000000|-19000000|126000000|200000000|253000000|296000000|928000000|251000000|CNP
2021-03-31|USD|2364000000|2547000000|183000000|40000000|453000000|143000000||143000000||-7000000|8000000|7000000|2567000000|19000000||55213|412000000|49000000|140000000|280000000|366000000|453000000|860000000|363000000|CNP
2020-12-31|USD|1688000000|2054000000|366000000|61000000|285000000|129000000||325000000||-5000000|1000000|5000000|1996000000|17000000||156000000|247000000|47000000|113000000|136000000|143000000|285000000|408000000|200000000|CNP
2020-09-30|USD|1437000000|1622000000|185000000|63000000|302000000|122000000||122000000||259000000|195000000|-259000000|1526000000|11000000||0|106000000|-15000000|121000000|199000000|71000000|302000000|-153000000|121000000|CNP
2020-06-30|USD|1377000000|1575000000|198000000|69000000|235000000|129000000||129000000||-128000000|1000000|128000000|1490000000|22000000||0|134000000|29000000|128000000|135000000|75000000|235000000|262000000|105000000|CNP
2020-03-31|USD|1781000000|2167000000|386000000|64000000|217000000|136000000||322000000||-146000000|1000000|146000000|2351000000|14000000||1000000|-1546000000|-347000000|139000000|-1053000000|-1230000000|217000000|-1399000000|-1199000000|CNP
2019-12-31|USD|3230000000|3230000000|1485000000|69000000|302000000|125000000||481000000||-7000000|206000000|7000000|2442000000|31000000||276000000|112000000|-45000000|139000000|-30000000|137000000|302000000|395000000|157000000|CNP
2019-09-30|USD|1776000000|1658000000|966000000|80000000|357000000|114000000||114000000||-8000000|131000000|8000000|2100000000|5000000||7000000|316000000|46000000|134000000|251000000|239000000|357000000|331000000|270000000|CNP
